star,planet,stellar type,Teff (K),stellar radius (R_sun),stellar mass (M_sun),P_rot (days),planet mass (M_earth),planet radius (R_earth),T_eq (K),orbital period (days),eccentricity ,inclination,archive link,additional notes
COROT-7,b,G9 V,5200,0.8,0.9,,5.2,1.7,1756,0.85,0.12,80,https://exoplanetarchive.ipac.caltech.edu/overview/corot%207#star_CoRoT-7_collapsible,
GJ 9827,b,K6 V,4200,0.6,0.6,29,4.9,1.6,1114,1.2,,86,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%209827#star_GJ-9827_collapsible,
GJ 9827,c,K6 V,4200,0.6,0.6,29,0.84,1.2,771,3.6,,88,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%209827#star_GJ-9827_collapsible,
HD 136352,b,G4 V,5660,1.01,0.87,24,4.7,1.7,905,11.5,0.1,88,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20136352#star_HD-136352_collapsible,
HD 136352,c,G4 V,5660,1.01,0.87,24,11.2,2.9,677,28,0.04,88,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20136352#star_HD-136352_collapsible,
HD 158259,b,G0 V,5900,1.2,1.1,20,2.2,,,2,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20158259#star_HD-158259_collapsible,only M sin i
HD 213885,b,G0 V,5900,1.1,1.1,18,8.8,1.8,2128,1,0,80,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20213885#star_HD-213885_collapsible,
HD 219134,b,K3 V,4800,0.8,0.8,,4.7,1.6,1000,3,0.02,85,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134#star_HD-219134_collapsible,
HD 219134,c,K3 V,4800,0.8,0.8,,4.3,1.5,782,7,0.1,87,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134#star_HD-219134_collapsible,
HD 260655,c,M0 V,3800,0.4,0.4,38,3,1.5,557,6,0.04,87,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20260655#star_HD-260655_collapsible,
HD 260655,b,M0 V,3800,0.4,0.4,38,2.1,1.2,700,3,0.04,87,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20260655#star_HD-260655_collapsible,not in Yamila's original list
HD 3167,b,K0 V,5300,0.9,0.8,24,4.8,1.6,1777,1,0,87,https://exoplanetarchive.ipac.caltech.edu/overview/HD%203167#star_HD-3167_collapsible,
HD 80653,b,G2 V,5900,1.2,1.2,20,5.6,1.6,,0.7,,82,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2080653#star_HD-80653_collapsible,
Kepler 21,b,F6 IV?,6200,1.9,1.2,15,5,1.7,2025,3,0.02,83,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler%2021#star_Kepler-21_collapsible,
L 98-59,d,M3 V,3400,0.3,0.3,81,2,1.5,416,7,0.07,88,https://exoplanetarchive.ipac.caltech.edu/overview/L%2098-59#star_L-98-59_collapsible,
L98059,c,M3 V,3400,0.3,0.3,81,2.22,1.4,553,4,0.1,88,https://exoplanetarchive.ipac.caltech.edu/overview/L%2098-59#star_L-98-59_collapsible,not in Yamila's original list
TOI 1807 ,b,K V?,4700,0.7,0.8,8.8,,1.3,2100,0.5,,78,https://exoplanetarchive.ipac.caltech.edu/overview/TOI%201807#star_TOI-1807_collapsible,
TOI 451,b,G V?,5500,0.9,0.95,5,,1.9,1500,2,,88,https://exoplanetarchive.ipac.caltech.edu/overview/TOI%20451#star_TOI-451_collapsible,
TOI 561,b,G 9 V,5300,0.8,0.8,,1.6,1.4,,0.44,,87,https://exoplanetarchive.ipac.caltech.edu/overview/TOI%20561#star_TOI-561_collapsible,
